CustomerID,CustomerName,Email,JoinDate,Day,Year,Month
56,Justin Fitzgerald,robert89@johnson.org,10-07-2023,Monday,2023,July
57,Kenneth Edwards,shannon60@yahoo.com,10-06-2025,Tuesday,2025,June
58,Shawn Williams,benjaminlevine@gmail.com,28-09-2022,Wednesday,2022,September
59,Johnathan Phillips,calvinherrera@whitaker.com,20-01-2024,Saturday,2024,January
60,Alex Murray,dawsondavid@hines-green.com,04-03-2023,Saturday,2023,March
61,Donna Smith,taguirre@gmail.com,02-02-2024,Friday,2024,February
62,Frank Webb,abigail66@hotmail.com,06-09-2023,Wednesday,2023,September
63,Tracy Dean,ethompson@hotmail.com,30-07-2024,Tuesday,2024,July
64,Kelly Velasquez,natasharyan@yahoo.com,17-02-2024,Saturday,2024,February
65,Jared Hanson,annmartinez@yahoo.com,05-12-2023,Tuesday,2023,December
66,Craig Martinez,ericbrown@allen.com,24-10-2024,Thursday,2024,October
67,April Norris,susan52@perez.biz,14-04-2023,Friday,2023,April
68,David Smith,michelle47@pace.com,22-05-2023,Monday,2023,May
69,Kerri Garcia,langdestiny@brady.net,24-08-2023,Thursday,2023,August
70,Courtney Wilkerson,lbarber@mueller-harris.biz,13-12-2023,Wednesday,2023,December
71,Mrs. Angela Werner,deborahswanson@gmail.com,15-03-2025,Saturday,2025,March
72,Ariana Chapman,ashley35@hotmail.com,13-04-2025,Sunday,2025,April
73,Tiffany Edwards,adamschristopher@brady.org,29-05-2024,Wednesday,2024,May
74,Connor Parker,barbarablevins@clay.com,26-01-2024,Friday,2024,January
75,Lori Chavez,browningjohn@morrison-carpenter.com,24-04-2024,Wednesday,2024,April
76,Debbie Miller,barrettlucas@yahoo.com,01-04-2025,Tuesday,2025,April
77,Lindsey Nguyen,troberts@johnson-moyer.net,08-08-2023,Tuesday,2023,August
78,William Brown,knorman@rogers.com,30-04-2023,Sunday,2023,April
79,William Newton,kimberly70@yahoo.com,24-09-2024,Tuesday,2024,September
80,Mark Wolf,jonesnicole@anderson.info,27-08-2024,Tuesday,2024,August
81,Taylor Duke,tom17@adkins.com,28-11-2022,Monday,2022,November
82,Calvin Adams,tonya81@lopez-bell.com,01-12-2022,Thursday,2022,December
83,Joshua Farmer,marylindsey@yahoo.com,25-08-2022,Thursday,2022,August
84,Samuel Hughes,obarber@kane.com,18-02-2023,Saturday,2023,February
85,Lance Lee,vwoodward@mcdaniel-mason.com,11-11-2022,Friday,2022,November
86,Lori Mercado,jennifer51@yahoo.com,31-03-2025,Monday,2025,March
87,Anthony Davis,iallen@gmail.com,03-06-2024,Monday,2024,June
88,Mark Nguyen,jonescrystal@hotmail.com,07-08-2024,Wednesday,2024,August
89,Jacqueline Friedman,watkinscharles@yahoo.com,09-06-2023,Friday,2023,June
90,Christina Poole,brian30@rush.biz,26-09-2023,Tuesday,2023,September
91,Peggy Russell,tina64@hotmail.com,07-07-2023,Friday,2023,July
92,Jessica Simmons DDS,brendapatel@hotmail.com,22-08-2023,Tuesday,2023,August
93,Jamie Yang,brian84@baird.net,09-02-2025,Sunday,2025,February
94,Lori Ruiz DDS,rachelacosta@stone.info,08-01-2023,Sunday,2023,January
95,Patrick Russo,tina50@hotmail.com,06-02-2023,Monday,2023,February
96,Jennifer Hall,sandovalmisty@hotmail.com,05-02-2025,Wednesday,2025,February
97,Christina Moody,angelaweber@kelly.com,15-08-2023,Tuesday,2023,August
98,Tammy Wilcox,russellross@gmail.com,24-10-2024,Thursday,2024,October
99,Allison Barry,tammie42@campbell.net,16-01-2024,Tuesday,2024,January
100,Kevin Stephens,lchapman@flores.com,19-04-2025,Saturday,2025,April
101,Sarah Jennings,bradley74@fields.net,09-04-2023,Sunday,2023,April
102,Kimberly Nelson,smithchristopher@kemp.org,14-12-2024,Saturday,2024,December
103,David Santiago,ramirezjustin@wilcox.com,08-11-2023,Wednesday,2023,November
104,Nicole Merritt,ggeorge@herrera.com,26-02-2024,Monday,2024,February
105,Anthony Owen,sydney88@howard.info,23-08-2022,Tuesday,2022,August
106,Justin Holden,brady61@hotmail.com,21-05-2023,Sunday,2023,May
107,Juan Peterson,josephparks@gmail.com,08-10-2024,Tuesday,2024,October
108,Mr. Gregory Suarez,kabbott@conner.com,06-04-2024,Saturday,2024,April
109,Robert Owens,deckermichael@mitchell-krause.com,25-12-2022,Sunday,2022,December
110,Matthew Powell,griffinjose@nguyen.com,12-11-2024,Tuesday,2024,November
111,Brandon Curry,martintimothy@gmail.com,23-10-2024,Wednesday,2024,October
112,Angela Mendez,laurarosario@nguyen.com,21-05-2024,Tuesday,2024,May
113,Mitchell Barnett,lreed@mcdonald.biz,27-02-2023,Monday,2023,February
114,Jonathan Jordan,leelouis@hotmail.com,07-06-2024,Friday,2024,June
115,Steven Baker,paynejacqueline@yahoo.com,22-01-2024,Monday,2024,January
116,Jennifer Brock,wdavis@sanders-randall.info,26-09-2024,Thursday,2024,September
117,Anne Jones,adoyle@smith.com,10-05-2024,Friday,2024,May
118,Melinda Brown,ghernandez@peck.com,08-07-2022,Friday,2022,July
119,Barbara Stevens,hornmatthew@doyle.com,25-02-2023,Saturday,2023,February
120,Anthony Hernandez,buckleyholly@gmail.com,12-01-2025,Sunday,2025,January
121,Danielle Hall,gmckay@gmail.com,14-10-2024,Monday,2024,October
122,Anthony Johnson,teresa42@yahoo.com,22-11-2024,Friday,2024,November
123,Whitney Collier,gomezmichael@jones.com,25-03-2024,Monday,2024,March
124,Dana Curtis,patrickramirez@yahoo.com,02-04-2025,Wednesday,2025,April
125,Ricky Cabrera,thomas17@yahoo.com,10-05-2024,Friday,2024,May
126,Richard Watson,darin43@yahoo.com,20-05-2024,Monday,2024,May
127,Tiffany Newton,ocampbell@garcia.com,18-09-2023,Monday,2023,September
128,Sharon Stephens DDS,onixon@mcgrath-kirby.com,05-05-2025,Monday,2025,May
129,Gregory Myers,gomezjamie@gmail.com,11-04-2024,Thursday,2024,April
130,Tiffany Green,garciadavid@rodriguez.com,02-08-2022,Tuesday,2022,August
131,Daniel Massey,stricklandjacqueline@anderson-hill.com,20-09-2023,Wednesday,2023,September
132,Daniel Gross,natalienoble@gmail.com,21-04-2023,Friday,2023,April
133,Angela Foster,garystanton@cunningham-nguyen.com,27-12-2022,Tuesday,2022,December
134,Matthew Adams,qcardenas@gmail.com,09-09-2024,Monday,2024,September
135,Tommy Avery,suttonkristina@hotmail.com,19-03-2023,Sunday,2023,March
136,Katherine Morton,gordonnicole@yahoo.com,27-01-2025,Monday,2025,January
137,Jesse Smith,raymond05@munoz.com,07-02-2024,Wednesday,2024,February
138,Brittney Nelson,angelica63@yahoo.com,14-11-2023,Tuesday,2023,November
139,Kaylee Diaz,renee65@perez-nelson.biz,09-08-2024,Friday,2024,August
140,Scott Brown,andrew89@copeland.com,04-11-2022,Friday,2022,November
141,Sue Jacobs,marilynvillegas@gmail.com,24-07-2022,Sunday,2022,July
142,Christine Leach,andrew55@gmail.com,19-07-2024,Friday,2024,July
143,Jeffrey Johnson,ashleyglenn@nelson.org,05-02-2024,Monday,2024,February
144,Megan Camacho,smithpenny@moore.com,02-12-2024,Monday,2024,December
145,Patricia Scott,shane95@sparks-gibson.com,28-09-2024,Saturday,2024,September
146,Mike Pena,tateashley@wilkinson.info,18-07-2023,Tuesday,2023,July
147,Brian Williams,whitneymichelle@hotmail.com,25-04-2024,Thursday,2024,April
148,Rebecca Murphy,justin11@mason-gallagher.com,16-11-2023,Thursday,2023,November
149,Elizabeth Gonzales,randallpalmer@lam.com,27-10-2024,Sunday,2024,October
150,Susan Williams,elizabeth37@thomas.com,02-12-2024,Monday,2024,December
